code,goveff,corrup,tgdp,infl,hdi,unempl,start_business,gdppc
MNE,0.275488466,-0.010365401,3.176,1.566,0.802,19.10000038,59,6409.219
MAR,-0.138035595,-0.260198265,4.508,1.545,0.628,9.707,43,3002.501
MOZ,-0.73005861,-0.702652812,6.61,2.392,0.416,22.60000038,124,529.243
MMR,-1.279078007,-0.921881616,7.031,11.446,0.536,4,160,1212.77
NAM,0.102526806,0.234230176,5.295,3.396,0.628,18.60000038,164,5041.114
NPL,-0.831010878,-0.544040501,2.725,7.212,0.548,2.700000048,105,747.785
NLD,1.829282403,1.998368621,1.951,0.217,0.922,6.891,28,44322.826
NZL,1.928475857,2.270054102,2.999,0.293,0.914,5.35,1,37066.064
NIC,-0.834599316,-0.884931207,4.929,3.997,0.631,6.753,123,2024.287
NER,-0.737732291,-0.629819572,3.546,1.006,0.348,5.099999905,134,406.592
NGA,-1.192380905,-1.273149729,2.653,9.01,0.514,9,139,2763.138
NOR,1.809913397,2.227416754,1.598,2.174,0.944,4.374,24,74597.986
OMN,0.286823094,0.250514686,3.323,0.065,0.793,7.199999809,149,16699.23
PAK,-0.748696208,-0.81348896,4.038,4.526,0.538,5.9,122,1427.555
PAN,0.274445236,-0.355235696,5.777,0.134,0.78,5.052,44,13012.562
PRY,-0.924757421,-0.999988377,3.08,3.129,0.679,6.099,135,4102.297
PER,-0.276588738,-0.592332661,3.28,3.548,0.734,6,97,6167.74
PHL,0.192713708,-0.442229599,5.907,1.409,0.668,6.275,165,2862.902
POL,0.824540734,0.592658699,3.65,-0.933,0.843,7.501,85,12492.223
PRT,1.010043025,0.884567082,1.45,0.508,0.83,12.444,13,19117.276
PRI,0.384808779,0.489038289,-0.046,-0.751,,12,51,29620.21
QAT,0.992342293,1.092545271,3.663,1.814,0.85,0.300000012,109,68940.044
ROU,-0.003453607,-0.137727171,3.751,-0.596,0.793,6.812,45,8955.742
RUS,-0.078529522,-0.871817112,-3.727,15.532,0.798,5.575,41,9243.305
RWA,0.024652118,0.829795122,6.914,2.507,0.483,0.600000024,111,717.739
SAU,0.225133628,0.097481519,3.486,2.189,0.837,5.591,130,20582.626
SEN,-0.39127332,0.017469976,6.485,0.129,0.466,10,85,913.024
